"name","pop","location"
"Radzyn Podlaski","16071","https://www.google.com/maps/?q=51.7833,22.6167"
"Olecko","15923","https://www.google.com/maps/?q=54.0337,22.507"
"Garwolin","15912","https://www.google.com/maps/?q=51.8975,21.6147"
"Przeworsk","15805","https://www.google.com/maps/?q=50.0591,22.4941"
"Milanowek","15784","https://www.google.com/maps/?q=52.1188,20.6716"
"Choszczno","15733","https://www.google.com/maps/?q=53.169,15.4205"
"Ustron","15637","https://www.google.com/maps/?q=49.7215,18.802"
"Nisko","15573","https://www.google.com/maps/?q=50.5199,22.1397"
"Leczyca","15528","https://www.google.com/maps/?q=52.0596,19.1997"
"Siemiatycze","15421","https://www.google.com/maps/?q=52.4272,22.8623"
"Chelmza","15403","https://www.google.com/maps/?q=53.1846,18.6047"
"Jelcz Laskowice","15340","https://www.google.com/maps/?q=51.0213,17.3165"
"Lomianki","15315","https://www.google.com/maps/?q=52.3341,20.886"
"Jelcz","15308","https://www.google.com/maps/?q=51.021,17.3209"
"Ropczyce","15279","https://www.google.com/maps/?q=50.0523,21.6089"
"Nowy Tomysl","15179","https://www.google.com/maps/?q=52.3195,16.1284"
"Solec Kujawski","15125","https://www.google.com/maps/?q=53.0837,18.2257"
"Glucholazy","15120","https://www.google.com/maps/?q=50.315,17.3836"
"Glowno","15103","https://www.google.com/maps/?q=51.9646,19.7157"
"Kartuzy","15002","https://www.google.com/maps/?q=54.3342,18.1973"
"Cieplice Slaskie Zdroj","15000","https://www.google.com/maps/?q=50.8655,15.6837"
"Lubsko","14994","https://www.google.com/maps/?q=51.7847,14.972"
"Wladyslawowo","14889","https://www.google.com/maps/?q=54.7909,18.4009"
"Grojec","14880","https://www.google.com/maps/?q=51.8625,20.8676"
"Lipno","14821","https://www.google.com/maps/?q=52.8444,19.1785"
"Kepno","14813","https://www.google.com/maps/?q=51.2784,17.9891"
"Skoczow","14810","https://www.google.com/maps/?q=49.8009,18.7877"
"Kozle","14780","https://www.google.com/maps/?q=50.3356,18.1433"
"Czluchow","14759","https://www.google.com/maps/?q=53.6672,17.3588"
"Morag","14745","https://www.google.com/maps/?q=53.9171,19.926"
"Nidzica","14720","https://www.google.com/maps/?q=53.3605,20.4275"
"Limanowa","14714","https://www.google.com/maps/?q=49.7059,20.422"
"Slupca","14476","https://www.google.com/maps/?q=52.2873,17.8719"
"Wschowa","14458","https://www.google.com/maps/?q=51.807,16.3166"
"Ostrzeszow","14446","https://www.google.com/maps/?q=51.4264,17.9335"
"Darlowo","14398","https://www.google.com/maps/?q=54.421,16.4107"
"Barlinek","14385","https://www.google.com/maps/?q=52.9946,15.2186"
"Chojnow","14209","https://www.google.com/maps/?q=51.2737,15.9366"
"Wilanow","14032","https://www.google.com/maps/?q=52.1631,21.0875"
"Pszow","14028","https://www.google.com/maps/?q=50.0399,18.3947"
"Znin","14008","https://www.google.com/maps/?q=52.8496,17.7199"
"Lezajsk","13958","https://www.google.com/maps/?q=50.2626,22.4193"
"Wabrzezno","13911","https://www.google.com/maps/?q=53.2799,18.9477"
"Grodzisk Wielkopolski","13826","https://www.google.com/maps/?q=52.2276,16.3653"
"Debno","13804","https://www.google.com/maps/?q=52.739,14.698"
"Goldap","13769","https://www.google.com/maps/?q=54.3063,22.3036"
"Glubczyce","13697","https://www.google.com/maps/?q=50.2009,17.8286"
"Wolsztyn","13689","https://www.google.com/maps/?q=52.1155,16.1171"
"Tuchola","13686","https://www.google.com/maps/?q=53.5879,17.8591"
"Niedobczyce","13500","https://www.google.com/maps/?q=50.0654,18.4953"
"Slawno","13415","https://www.google.com/maps/?q=54.3628,16.6789"
"Zdzieszowice","13401","https://www.google.com/maps/?q=50.4248,18.1235"
"Koluszki","13343","https://www.google.com/maps/?q=51.7387,19.8199"
"Zlocieniec","13337","https://www.google.com/maps/?q=53.5329,16.0113"
"Klobuck","13190","https://www.google.com/maps/?q=50.9008,18.9367"
"Wlodawa","13142","https://www.google.com/maps/?q=51.55,23.55"
"Rabka-Zdroj","13071","https://www.google.com/maps/?q=49.6089,19.9665"
"Golub-Dobrzyn","12937","https://www.google.com/maps/?q=53.1109,19.0538"
"Pyrzyce","12893","https://www.google.com/maps/?q=53.1462,14.8926"
"Szprotawa","12786","https://www.google.com/maps/?q=51.5656,15.5366"
"Brzeg Dolny","12689","https://www.google.com/maps/?q=51.273,16.7082"
"Gora","12668","https://www.google.com/maps/?q=51.6664,16.5349"
"Lubaczow","12595","https://www.google.com/maps/?q=50.157,23.1234"
"Wegrow","12512","https://www.google.com/maps/?q=52.3995,22.0163"
"Mogilno","12465","https://www.google.com/maps/?q=52.6581,17.9558"
"Wolin","12438","https://www.google.com/maps/?q=53.8421,14.6146"
"Strzelin","12394","https://www.google.com/maps/?q=50.7816,17.0648"
"Mosina","12318","https://www.google.com/maps/?q=52.2454,16.8471"
"Brwinow","12315","https://www.google.com/maps/?q=52.1427,20.717"
